TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME_WIN,HOME
SLC,2017-01-13,SLC @ SCW,0,239,104,41,95,0.432,8,29,0.276,14,18,0.778,14,39,53,17,6,6,12,23,-9.0,0,0
BOS,2017-01-13,BOS @ ATL,1,239,103,36,83,0.434,17,44,0.386,14,19,0.737,9,34,43,22,7,3,12,16,2.0,0,0
FWN,2017-01-12,FWN @ WES,1,240,119,36,84,0.429,7,22,0.318,40,49,0.816,14,37,51,23,9,4,16,18,8.0,0,0
IND,2017-01-12,IND @ DEN,0,239,112,44,94,0.468,12,29,0.414,12,13,0.923,12,22,34,26,9,4,16,15,-28.0,0,0
WES,2017-01-12,WES vs. FWN,0,240,111,43,92,0.467,8,23,0.348,17,24,0.708,8,31,39,18,13,3,17,33,-8.0,0,1
SAS,2017-01-12,SAS vs. LAL,1,240,134,49,81,0.605,10,21,0.476,26,29,0.897,7,39,46,32,5,5,12,20,40.0,1,1
OKL,2017-01-12,OKL @ LAD,0,240,102,38,83,0.458,15,35,0.429,11,17,0.647,14,38,52,27,7,5,22,19,-2.0,0,0
MNE,2017-01-12,MNE vs. RAP,0,240,94,29,71,0.408,16,41,0.39,20,25,0.8,13,33,46,18,2,8,21,17,-16.0,0,1
LAD,2017-01-12,LAD vs. OKL,1,241,104,36,84,0.429,14,34,0.412,18,23,0.783,8,28,36,28,12,3,13,20,2.0,1,1
DET,2017-01-12,DET @ GSW,0,241,107,43,88,0.489,6,28,0.214,15,20,0.75,9,31,40,20,10,4,19,19,-20.0,0,0
GBO,2017-01-12,GBO @ LIN,0,255,133,46,82,0.561,9,23,0.391,32,40,0.8,8,33,41,18,6,11,19,34,-5.0,0,0
LIN,2017-01-12,LIN vs. GBO,1,256,138,47,97,0.485,9,28,0.321,35,46,0.761,12,28,40,23,9,6,8,30,5.0,1,1
RAP,2017-01-12,RAP @ MNE,1,241,110,43,95,0.453,10,28,0.357,14,18,0.778,16,24,40,24,12,3,5,16,16.0,0,0
LAL,2017-01-12,LAL @ SAS,0,241,94,35,85,0.412,6,20,0.3,18,25,0.72,9,20,29,23,6,3,9,25,-40.0,0,0
GSW,2017-01-12,GSW vs. DET,1,240,127,50,89,0.562,15,29,0.517,12,18,0.667,6,31,37,39,14,4,18,14,20.0,1,1
DAL,2017-01-12,DAL @ PHX,1,238,113,43,89,0.483,15,34,0.441,12,17,0.706,8,24,32,29,11,7,9,20,5.0,0,0
DEN,2017-01-12,DEN vs. IND,1,240,140,52,90,0.578,15,32,0.469,21,23,0.913,12,35,47,37,10,5,15,16,28.0,1,1
NYK,2017-01-12,NYK vs. CHI,1,240,104,44,92,0.478,7,23,0.304,9,11,0.818,17,31,48,21,3,7,12,17,15.0,1,1
CHI,2017-01-12,CHI @ NYK,0,240,89,35,89,0.393,3,18,0.167,16,21,0.762,14,29,43,20,5,4,12,12,-15.0,0,0
BKN,2017-01-12,BKN vs. NOP,0,241,95,40,97,0.412,9,42,0.214,6,11,0.545,7,43,50,22,10,6,16,20,-9.0,0,1
NOP,2017-01-12,NOP @ BKN,1,239,104,38,90,0.422,11,32,0.344,17,25,0.68,9,41,50,16,12,4,16,16,9.0,0,0
PHX,2017-01-12,PHX vs. DAL,0,240,108,38,78,0.487,10,18,0.556,22,27,0.815,13,34,47,15,2,4,19,23,-5.0,0,1
POR,2017-01-11,POR vs. CLE,1,241,102,40,93,0.43,10,30,0.333,12,16,0.75,13,38,51,29,6,9,9,17,16.0,1,1
MIN,2017-01-11,MIN vs. HOU,1,241,119,44,81,0.543,8,23,0.348,23,25,0.92,9,40,49,31,8,9,17,19,14.0,1,1
HOU,2017-01-11,HOU @ MIN,0,239,105,36,87,0.414,15,42,0.357,18,22,0.818,7,25,32,23,7,4,15,23,-14.0,0,0
OKC,2017-01-11,OKC vs. MEM,1,241,103,36,81,0.444,8,26,0.308,23,29,0.793,11,42,53,21,5,4,16,18,8.0,1,1
TEX,2017-01-11,TEX vs. IWA,1,240,130,47,93,0.505,18,36,0.5,18,28,0.643,12,30,42,28,6,6,13,24,7.0,1,1
CTN,2017-01-11,CTN @ SCW,0,239,105,42,96,0.438,5,18,0.278,16,28,0.571,14,30,44,25,10,9,14,21,-4.0,0,0
WAS,2017-01-11,WAS @ BOS,0,240,108,45,105,0.429,10,26,0.385,8,12,0.667,16,28,44,28,10,3,7,13,-9.0,0,0
MEM,2017-01-11,MEM @ OKC,0,240,95,38,92,0.413,7,24,0.292,12,21,0.571,13,26,39,18,11,5,10,26,-8.0,0,0
RNO,2017-01-11,RNO vs. AUS,1,255,97,35,85,0.412,6,14,0.429,21,26,0.808,15,41,56,23,12,8,21,20,6.0,1,1
IWA,2017-01-11,IWA @ TEX,0,239,123,44,85,0.518,7,25,0.28,28,36,0.778,11,33,44,18,5,4,13,23,-7.0,0,0
PHI,2017-01-11,PHI vs. NYK,1,239,98,37,95,0.389,7,28,0.25,17,21,0.81,18,29,47,27,7,1,14,12,1.0,1,1
CLE,2017-01-11,CLE @ POR,0,240,86,28,82,0.341,9,30,0.3,21,28,0.75,13,35,48,14,5,4,15,20,-16.0,0,0
WCB,2017-01-11,WCB @ ERI,1,241,108,42,91,0.462,7,24,0.292,17,19,0.895,16,38,54,24,6,1,16,16,11.0,0,0
AUS,2017-01-11,AUS @ RNO,0,254,91,29,85,0.341,9,29,0.31,24,25,0.96,10,30,40,21,8,2,15,27,-6.0,0,0
RGV,2017-01-11,RGV vs. SXF,0,240,129,44,89,0.494,13,40,0.325,28,31,0.903,10,27,37,28,11,7,26,29,-6.0,0,1
GRD,2017-01-11,GRD @ SLC,0,241,94,32,80,0.4,8,24,0.333,22,28,0.786,8,31,39,11,5,1,14,18,-35.0,0,0
BOS,2017-01-11,BOS vs. WAS,1,239,117,43,85,0.506,17,41,0.415,14,18,0.778,10,35,45,20,5,7,14,10,9.0,1,1
SLC,2017-01-11,SLC vs. GRD,1,241,129,50,98,0.51,14,40,0.35,15,19,0.789,13,40,53,25,8,1,9,25,35.0,1,1
SXF,2017-01-11,SXF @ RGV,1,240,135,48,93,0.516,10,34,0.294,29,33,0.879,12,30,42,24,16,4,22,21,6.0,0,0
ERI,2017-01-11,ERI vs. WCB,0,241,97,38,85,0.447,7,15,0.467,14,15,0.933,6,32,38,17,11,3,11,21,-11.0,0,1
NYK,2017-01-11,NYK @ PHI,0,240,97,42,86,0.488,4,22,0.182,9,10,0.9,8,32,40,20,7,8,13,22,-1.0,0,0
SCW,2017-01-11,SCW vs. CTN,1,240,109,41,82,0.5,9,27,0.333,18,27,0.667,9,41,50,23,10,12,21,25,4.0,1,1
ORL,2017-01-11,ORL @ LAC,0,239,96,39,92,0.424,6,27,0.222,12,18,0.667,6,29,35,21,8,3,13,21,-9.0,0,0
LAC,2017-01-11,LAC vs. ORL,1,241,105,39,76,0.513,9,26,0.346,18,26,0.692,9,40,49,23,11,5,21,20,9.0,1,1
CHA,2017-01-10,CHA @ HOU,0,240,114,44,92,0.478,19,43,0.442,7,9,0.778,5,38,43,30,3,4,11,21,-7.0,0,0
MIA,2017-01-10,MIA @ GSW,0,241,95,38,90,0.422,6,30,0.2,13,17,0.765,6,40,46,25,6,4,11,22,-12.0,0,0
RAP,2017-01-10,RAP vs. GBO,1,241,122,41,81,0.506,16,31,0.516,24,31,0.774,11,29,40,24,16,10,16,26,13.0,1,1
HOU,2017-01-10,HOU vs. CHA,1,241,121,40,82,0.488,17,39,0.436,24,33,0.727,6,38,44,25,8,5,10,17,7.0,1,1
BOS,2017-01-10,BOS @ TOR,0,241,106,40,85,0.471,9,27,0.333,17,20,0.85,6,27,33,21,7,3,14,20,-8.0,0,0
MIL,2017-01-10,MIL @ SAS,1,239,109,44,84,0.524,10,19,0.526,11,13,0.846,11,27,38,32,8,6,12,18,2.0,0,0
OKL,2017-01-10,OKL @ NAS,0,240,88,32,79,0.405,8,27,0.296,16,23,0.696,10,34,44,17,6,7,16,21,-6.0,0,0
SAS,2017-01-10,SAS vs. MIL,0,241,107,42,88,0.477,12,30,0.4,11,14,0.786,13,28,41,22,5,7,14,10,-2.0,0,1
WES,2017-01-10,WES vs. MNE,1,241,105,41,82,0.5,6,12,0.5,17,23,0.739,10,44,54,15,7,0,11,25,27.0,1,1
DET,2017-01-10,DET @ SAC,0,240,94,36,82,0.439,12,27,0.444,10,16,0.625,8,27,35,14,12,9,12,24,-6.0,0,0
ATL,2017-01-10,ATL @ BKN,1,240,117,44,92,0.478,7,23,0.304,22,38,0.579,15,38,53,25,11,12,12,17,20.0,0,0
UTA,2017-01-10,UTA vs. CLE,1,238,100,38,79,0.481,13,34,0.382,11,19,0.579,11,35,46,22,8,4,18,21,8.0,1,1
POR,2017-01-10,POR @ LAL,1,241,108,43,85,0.506,7,21,0.333,15,20,0.75,9,41,50,25,6,9,11,21,21.0,0,0
GSW,2017-01-10,GSW vs. MIA,1,242,107,39,86,0.453,11,27,0.407,18,22,0.818,5,43,48,28,6,7,11,16,12.0,1,1
GBO,2017-01-10,GBO @ RAP,0,240,109,35,86,0.407,17,34,0.5,22,29,0.759,17,27,44,23,10,6,23,23,-13.0,0,0
LIN,2017-01-10,LIN vs. FWN,0,239,112,41,77,0.532,4,18,0.222,26,34,0.765,6,25,31,20,7,3,17,34,-8.0,0,1
CHI,2017-01-10,CHI @ WAS,0,240,99,35,88,0.398,10,27,0.37,19,21,0.905,12,32,44,19,10,2,17,18,-2.0,0,0
SLC,2017-01-10,SLC vs. AUS,0,240,102,38,86,0.442,8,18,0.444,18,29,0.621,14,27,41,22,6,9,12,24,-2.0,0,1
MNE,2017-01-10,MNE @ WES,0,240,78,23,74,0.311,7,33,0.212,25,33,0.758,9,27,36,11,5,4,12,19,-27.0,0,0
AUS,2017-01-10,AUS @ SLC,1,240,104,33,67,0.493,10,23,0.435,28,36,0.778,6,32,38,16,7,9,17,23,2.0,0,0
CLE,2017-01-10,CLE @ UTA,0,240,92,31,85,0.365,9,31,0.29,21,25,0.84,13,29,42,15,6,2,16,19,-8.0,0,0
SAC,2017-01-10,SAC vs. DET,1,239,100,32,73,0.438,13,23,0.565,23,29,0.793,12,33,45,21,6,3,16,17,6.0,1,1
FWN,2017-01-10,FWN @ LIN,1,240,120,38,77,0.494,9,27,0.333,35,46,0.761,9,28,37,23,9,2,15,30,8.0,0,0
WAS,2017-01-10,WAS vs. CHI,1,241,101,42,83,0.506,11,22,0.5,6,9,0.667,7,35,42,24,8,6,21,24,2.0,1,1
TOR,2017-01-10,TOR vs. BOS,1,240,114,41,87,0.471,10,22,0.455,22,27,0.815,17,33,50,17,9,7,17,21,8.0,1,1
LAL,2017-01-10,LAL vs. POR,0,241,87,32,83,0.386,9,24,0.375,14,26,0.538,9,29,38,18,7,5,10,18,-21.0,0,1
BKN,2017-01-10,BKN vs. ATL,0,239,97,35,87,0.402,10,29,0.345,17,23,0.739,14,34,48,22,5,4,17,24,-20.0,0,1
NAS,2017-01-10,NAS vs. OKL,1,239,94,32,80,0.4,10,32,0.313,20,26,0.769,11,36,47,17,12,1,13,19,6.0,1,1
SCW,2017-01-09,SCW @ RGV,0,240,148,56,96,0.583,18,39,0.462,18,30,0.6,9,28,37,29,9,2,13,25,-7.0,0,0
NOP,2017-01-09,NOP @ NYK,1,238,110,41,84,0.488,12,27,0.444,16,19,0.842,8,31,39,24,11,7,8,14,14.0,0,0
CHI,2017-01-09,CHI vs. OKC,0,239,94,34,83,0.41,7,19,0.368,19,22,0.864,9,29,38,18,7,2,11,13,-15.0,0,1
NYK,2017-01-09,NYK vs. NOP,0,241,96,36,85,0.424,11,29,0.379,13,16,0.813,12,33,45,17,5,4,14,18,-14.0,0,1
RGV,2017-01-09,RGV vs. SCW,1,240,155,57,100,0.57,10,33,0.303,31,41,0.756,15,36,51,39,10,7,13,23,7.0,1,1
OKC,2017-01-09,OKC @ CHI,1,241,109,47,83,0.566,7,24,0.292,8,11,0.727,6,36,42,30,5,5,12,17,15.0,0,0
GRD,2017-01-09,GRD @ RNO,0,241,101,38,93,0.409,13,45,0.289,12,14,0.857,13,28,41,21,8,5,17,24,-6.0,0,0
RNO,2017-01-09,RNO vs. GRD,1,239,107,36,81,0.444,6,23,0.261,29,38,0.763,14,39,53,24,10,6,17,18,6.0,1,1
MIN,2017-01-09,MIN vs. DAL,1,239,101,40,71,0.563,6,16,0.375,15,21,0.714,9,33,42,30,11,4,18,24,9.0,1,1
DAL,2017-01-09,DAL @ MIN,0,240,92,36,78,0.462,13,28,0.464,7,9,0.778,5,20,25,24,3,2,14,21,-9.0,0,0
DET,2017-01-08,DET @ POR,1,289,125,54,105,0.514,8,25,0.32,9,12,0.75,6,35,41,19,14,3,9,16,1.0,0,0
SCW,2017-01-08,SCW @ AUS,1,254,111,36,89,0.404,11,33,0.333,28,37,0.757,14,36,50,14,9,8,15,23,3.0,0,0
LAC,2017-01-08,LAC vs. MIA,1,240,98,36,86,0.419,9,30,0.3,17,25,0.68,9,42,51,27,8,3,11,20,12.0,1,1
MIL,2017-01-08,MIL vs. WAS,0,242,101,37,80,0.463,9,23,0.391,18,20,0.9,5,27,32,25,14,3,16,20,-6.0,0,1
POR,2017-01-08,POR vs. DET,0,289,124,51,98,0.52,15,35,0.429,7,12,0.583,7,35,42,36,5,5,16,11,-1.0,0,1
GSW,2017-01-08,GSW @ SAC,1,240,117,45,89,0.506,10,29,0.345,17,20,0.85,13,33,46,33,11,6,17,22,11.0,0,0
UTA,2017-01-08,UTA @ MEM,0,241,79,28,72,0.389,9,23,0.391,14,23,0.609,11,32,43,14,8,3,17,19,-9.0,0,0
CLE,2017-01-08,CLE @ PHX,1,240,120,44,82,0.537,15,34,0.441,17,19,0.895,13,25,38,15,8,5,20,12,4.0,0,0
MNE,2017-01-08,MNE vs. FWN,1,240,111,37,80,0.463,8,28,0.286,29,33,0.879,9,39,48,17,5,6,13,17,8.0,1,1
BKN,2017-01-08,BKN vs. PHI,0,239,95,36,78,0.462,10,27,0.37,13,17,0.765,4,36,40,21,6,8,22,23,-10.0,0,1
HOU,2017-01-08,HOU @ TOR,1,241,129,46,89,0.517,11,38,0.289,26,31,0.839,10,29,39,27,9,6,15,22,7.0,0,0
ORL,2017-01-08,ORL @ LAL,0,240,95,34,90,0.378,7,26,0.269,20,29,0.69,18,36,54,24,5,3,18,20,-16.0,0,0
WAS,2017-01-08,WAS @ MIL,1,240,107,41,84,0.488,10,32,0.313,15,18,0.833,13,36,49,23,10,4,19,22,6.0,0,0
MEM,2017-01-08,MEM vs. UTA,1,240,88,34,78,0.436,9,24,0.375,11,14,0.786,5,32,37,19,11,2,13,23,9.0,1,1
AUS,2017-01-08,AUS vs. SCW,0,254,108,38,87,0.437,6,21,0.286,26,30,0.867,9,40,49,10,6,3,17,29,-3.0,0,1
PHX,2017-01-08,PHX vs. CLE,0,240,116,46,87,0.529,9,27,0.333,15,19,0.789,13,23,36,23,12,7,14,19,-4.0,0,1
LAL,2017-01-08,LAL vs. ORL,1,240,111,42,87,0.483,8,32,0.25,19,24,0.792,6,41,47,23,8,5,13,21,16.0,1,1
PHI,2017-01-08,PHI @ BKN,1,241,105,37,94,0.394,8,27,0.296,23,27,0.852,6,40,46,19,11,5,13,17,10.0,0,0
SAC,2017-01-08,SAC vs. GSW,0,238,106,36,74,0.486,11,28,0.393,23,29,0.793,1,30,31,21,13,5,18,17,-11.0,0,1
FWN,2017-01-08,FWN @ MNE,0,239,103,37,87,0.425,13,37,0.351,16,19,0.842,11,28,39,22,8,10,13,24,-8.0,0,0
TOR,2017-01-08,TOR vs. HOU,0,241,122,42,78,0.538,11,25,0.44,27,30,0.9,4,35,39,19,7,3,17,25,-7.0,0,1
MIA,2017-01-08,MIA @ LAC,0,240,86,31,84,0.369,7,27,0.259,17,21,0.81,11,39,50,14,6,5,15,21,-12.0,0,0
LAD,2017-01-07,LAD vs. GRD,1,240,123,44,94,0.468,17,39,0.436,18,21,0.857,9,44,53,30,5,4,13,25,2.0,1,1
SLC,2017-01-07,SLC vs. CTN,0,241,74,23,79,0.291,10,29,0.345,18,23,0.783,8,27,35,11,7,3,13,31,-46.0,0,1
OKC,2017-01-07,OKC vs. DEN,1,240,121,43,89,0.483,12,36,0.333,23,29,0.793,6,43,49,23,8,11,10,20,15.0,1,1
ATL,2017-01-07,ATL @ DAL,1,241,97,30,74,0.405,11,22,0.5,26,32,0.813,6,41,47,19,8,1,10,15,15.0,0,0
WCB,2017-01-07,WCB vs. RAP,0,240,100,36,79,0.456,11,26,0.423,17,20,0.85,10,29,39,21,3,4,12,24,-2.0,0,1
CHA,2017-01-07,CHA @ SAS,0,241,85,30,75,0.4,4,21,0.19,21,25,0.84,8,40,48,18,5,4,15,14,-17.0,0,0
SXF,2017-01-07,SXF vs. TEX,1,240,130,48,88,0.545,9,27,0.333,25,30,0.833,9,32,41,30,13,3,17,31,12.0,1,1
WES,2017-01-07,WES vs. DEL,0,241,88,31,77,0.403,1,11,0.091,25,36,0.694,11,25,36,9,11,3,17,21,-28.0,0,1
TEX,2017-01-07,TEX @ SXF,0,241,118,39,82,0.476,9,26,0.346,31,39,0.795,11,27,38,23,8,6,20,27,-12.0,0,0
GRD,2017-01-07,GRD @ LAD,0,242,121,44,92,0.478,18,36,0.5,15,23,0.652,6,35,41,26,4,3,8,23,-2.0,0,0
IND,2017-01-07,IND vs. NYK,1,240,123,43,86,0.5,11,24,0.458,26,28,0.929,12,41,53,25,11,0,19,23,14.0,1,1
NAS,2017-01-07,NAS @ RNO,0,256,89,33,86,0.384,9,34,0.265,14,23,0.609,9,35,44,21,10,2,14,23,-2.0,0,0
ERI,2017-01-07,ERI vs. LIN,0,242,90,34,79,0.43,8,19,0.421,14,22,0.636,15,30,45,21,9,5,21,18,-18.0,0,1
MIN,2017-01-07,MIN vs. UTA,0,240,92,35,80,0.438,7,20,0.35,15,21,0.714,14,34,48,23,3,3,15,21,-2.0,0,1
NYK,2017-01-07,NYK @ IND,0,239,109,40,87,0.46,12,31,0.387,17,24,0.708,6,26,32,25,9,7,17,24,-14.0,0,0
LIN,2017-01-07,LIN @ ERI,1,241,108,41,92,0.446,12,33,0.364,14,19,0.737,17,32,49,30,13,5,13,23,18.0,0,0
UTA,2017-01-07,UTA @ MIN,1,241,94,32,77,0.416,8,23,0.348,22,28,0.786,10,29,39,23,12,6,8,19,2.0,0,0
RAP,2017-01-07,RAP @ WCB,1,241,102,35,77,0.455,12,26,0.462,20,29,0.69,8,31,39,21,9,4,9,17,2.0,0,0
GBO,2017-01-07,GBO @ OKL,0,240,99,41,89,0.461,6,22,0.273,11,13,0.846,12,23,35,20,7,4,10,18,-13.0,0,0
DAL,2017-01-07,DAL vs. ATL,0,241,82,32,82,0.39,9,36,0.25,9,10,0.9,6,35,41,18,7,3,14,25,-15.0,0,1
CHI,2017-01-07,CHI vs. TOR,1,265,123,38,97,0.392,11,28,0.393,36,39,0.923,17,43,60,25,5,2,14,27,5.0,1,1
DEL,2017-01-07,DEL @ WES,1,241,116,47,90,0.522,7,23,0.304,15,22,0.682,11,38,49,22,8,2,17,26,28.0,0,0
DEN,2017-01-07,DEN @ OKC,0,240,106,40,99,0.404,9,24,0.375,17,24,0.708,15,38,53,18,7,4,12,23,-15.0,0,0
TOR,2017-01-07,TOR @ CHI,0,264,118,37,85,0.435,8,31,0.258,36,43,0.837,6,35,41,20,11,5,10,22,-5.0,0,0
OKL,2017-01-07,OKL vs. GBO,1,240,112,44,80,0.55,11,25,0.44,13,16,0.813,10,29,39,24,7,8,12,13,13.0,1,1
SAS,2017-01-07,SAS vs. CHA,1,240,102,36,89,0.404,13,34,0.382,17,20,0.85,9,34,43,29,9,8,7,21,17.0,1,1
RNO,2017-01-07,RNO vs. NAS,1,255,91,34,82,0.415,5,22,0.227,18,21,0.857,9,37,46,18,7,6,17,23,2.0,1,1
BOS,2017-01-07,BOS vs. NOP,1,240,117,40,93,0.43,18,36,0.5,19,21,0.905,15,32,47,26,6,5,10,22,9.0,1,1
CTN,2017-01-07,CTN @ SLC,1,240,120,40,80,0.5,12,24,0.5,28,44,0.636,16,46,62,16,6,7,13,21,46.0,0,0
NOP,2017-01-07,NOP @ BOS,0,239,108,40,85,0.471,10,31,0.323,18,23,0.783,9,33,42,22,7,7,11,20,-9.0,0,0
LAL,2017-01-06,LAL vs. MIA,1,239,127,48,96,0.5,10,28,0.357,21,29,0.724,18,44,62,22,6,2,11,22,27.0,1,1
CLE,2017-01-06,CLE @ BKN,1,239,116,38,88,0.432,9,33,0.273,31,43,0.721,5,41,46,19,14,3,12,16,8.0,0,0
WES,2017-01-06,WES @ WCB,0,239,102,40,95,0.421,6,17,0.353,16,21,0.762,15,29,44,16,8,6,19,23,-11.0,0,0
RGV,2017-01-06,RGV vs. AUS,1,239,126,40,78,0.513,11,36,0.306,35,44,0.795,14,27,41,21,10,2,22,25,8.0,1,1
WAS,2017-01-06,WAS vs. MIN,1,240,112,46,79,0.582,12,22,0.545,8,9,0.889,5,28,33,31,3,7,13,18,7.0,1,1
ORL,2017-01-06,ORL vs. HOU,0,240,93,38,91,0.418,8,23,0.348,9,13,0.692,19,30,49,18,8,2,15,14,-7.0,0,1
SCW,2017-01-06,SCW vs. GRD,0,240,124,41,87,0.471,15,35,0.429,27,40,0.675,11,43,54,24,7,9,15,23,-2.0,0,1
MNE,2017-01-06,MNE @ LIN,1,241,123,41,77,0.532,12,33,0.364,29,38,0.763,10,41,51,20,10,6,20,18,19.0,0,0
SAC,2017-01-06,SAC vs. LAC,0,240,98,36,87,0.414,9,30,0.3,17,22,0.773,12,38,50,23,4,3,6,18,-8.0,0,1
RAP,2017-01-06,RAP @ FWN,1,240,114,37,79,0.468,10,28,0.357,30,43,0.698,12,44,56,20,2,7,11,21,14.0,0,0
FWN,2017-01-06,FWN vs. RAP,0,240,100,34,96,0.354,15,42,0.357,17,21,0.81,14,31,45,23,5,2,10,31,-14.0,0,1
BKN,2017-01-06,BKN vs. CLE,0,239,108,41,91,0.451,9,30,0.3,17,19,0.895,10,42,52,21,6,1,19,34,-8.0,0,1
NYK,2017-01-06,NYK @ MIL,1,240,116,41,83,0.494,13,23,0.565,21,27,0.778,11,29,40,29,5,6,14,21,5.0,0,0
HOU,2017-01-06,HOU @ ORL,1,240,100,39,86,0.453,15,49,0.306,7,12,0.583,12,33,45,26,12,1,15,15,7.0,0,0
MIA,2017-01-06,MIA @ LAL,0,239,100,38,92,0.413,8,32,0.25,16,27,0.593,11,30,41,17,5,7,10,23,-27.0,0,0
LAC,2017-01-06,LAC @ SAC,1,240,106,39,84,0.464,13,31,0.419,15,21,0.714,8,37,45,28,6,5,8,13,8.0,0,0
NAS,2017-01-06,NAS vs. CTN,0,240,98,32,78,0.41,11,31,0.355,23,35,0.657,11,33,44,14,6,5,16,30,-13.0,0,1
SXF,2017-01-06,SXF vs. TEX,1,240,148,56,99,0.566,10,30,0.333,26,31,0.839,13,37,50,33,16,5,21,28,26.0,1,1
MIL,2017-01-06,MIL vs. NYK,0,240,111,39,78,0.5,12,22,0.545,21,28,0.75,6,29,35,24,9,11,14,19,-5.0,0,1
LIN,2017-01-06,LIN vs. MNE,0,239,104,38,97,0.392,9,23,0.391,19,23,0.826,17,25,42,17,17,2,14,26,-19.0,0,1
CTN,2017-01-06,CTN @ NAS,1,239,111,36,84,0.429,8,22,0.364,31,42,0.738,13,38,51,18,12,7,11,24,13.0,0,0
IWA,2017-01-06,IWA @ SLC,0,240,87,25,69,0.362,12,28,0.429,25,31,0.806,10,33,43,16,9,5,20,29,-7.0,0,0
TEX,2017-01-06,TEX @ SXF,0,240,122,44,99,0.444,6,26,0.231,28,37,0.757,14,29,43,18,15,6,21,23,-26.0,0,0
DEL,2017-01-06,DEL vs. ERI,1,240,129,47,96,0.49,11,27,0.407,24,33,0.727,18,39,57,28,6,0,15,19,24.0,1,1
PHI,2017-01-06,PHI @ BOS,0,241,106,37,79,0.468,9,28,0.321,23,26,0.885,4,37,41,30,9,11,15,23,-4.0,0,0
GRD,2017-01-06,GRD @ SCW,1,239,126,47,97,0.485,12,33,0.364,20,25,0.8,8,38,46,21,11,5,11,24,2.0,0,0
MIN,2017-01-06,MIN @ WAS,0,241,105,42,88,0.477,7,18,0.389,14,17,0.824,12,26,38,22,6,2,10,15,-7.0,0,0
ERI,2017-01-06,ERI @ DEL,0,240,105,40,91,0.44,9,23,0.391,16,21,0.762,8,29,37,16,6,5,16,22,-24.0,0,0
GSW,2017-01-06,GSW vs. MEM,0,265,119,41,83,0.494,8,30,0.267,29,39,0.744,7,37,44,23,7,5,16,21,-9.0,0,1
BOS,2017-01-06,BOS vs. PHI,1,241,110,35,87,0.402,19,40,0.475,21,25,0.84,12,30,42,28,6,11,17,22,4.0,1,1
AUS,2017-01-06,AUS @ RGV,0,240,118,44,86,0.512,6,27,0.222,24,28,0.857,13,26,39,19,12,1,23,35,-8.0,0,0
WCB,2017-01-06,WCB vs. WES,1,241,113,38,85,0.447,6,17,0.353,31,37,0.838,16,29,45,22,9,8,16,24,11.0,1,1
SLC,2017-01-06,SLC vs. IWA,1,241,94,30,81,0.37,11,30,0.367,23,34,0.676,13,33,46,15,8,6,14,21,7.0,1,1
MEM,2017-01-06,MEM @ GSW,1,266,128,50,103,0.485,13,33,0.394,15,19,0.789,14,33,47,29,13,0,12,28,9.0,0,0
OKC,2017-01-05,OKC @ HOU,0,239,116,41,91,0.451,12,30,0.4,22,27,0.815,16,38,54,15,6,9,9,21,-2.0,0,0
PHX,2017-01-05,PHX @ DAL,1,240,102,38,85,0.447,7,17,0.412,19,22,0.864,18,35,53,15,4,3,15,21,7.0,0,0
LAL,2017-01-05,LAL @ POR,0,241,109,36,86,0.419,10,31,0.323,27,33,0.818,10,30,40,15,7,3,11,25,-9.0,0,0
NOP,2017-01-05,NOP vs. ATL,0,240,94,34,93,0.366,15,35,0.429,11,14,0.786,15,37,52,19,8,4,15,18,-5.0,0,1
OKL,2017-01-05,OKL @ RNO,1,240,123,42,75,0.56,24,37,0.649,15,21,0.714,4,36,40,33,10,2,17,22,29.0,0,0
CHA,2017-01-05,CHA @ DET,0,240,114,37,91,0.407,10,26,0.385,30,34,0.882,8,41,49,20,4,5,5,23,-1.0,0,0
IWA,2017-01-05,IWA @ LAD,0,240,118,47,90,0.522,12,32,0.375,12,23,0.522,10,35,45,27,12,6,18,27,-1.0,0,0
BKN,2017-01-05,BKN @ IND,0,240,109,41,90,0.456,17,38,0.447,10,13,0.769,8,37,45,22,5,8,13,17,-12.0,0,0
HOU,2017-01-05,HOU vs. OKC,1,240,118,41,86,0.477,15,39,0.385,21,30,0.7,9,34,43,27,6,3,9,20,2.0,1,1
POR,2017-01-05,POR vs. LAL,1,240,118,43,81,0.531,12,33,0.364,20,30,0.667,8,39,47,29,6,5,13,21,9.0,1,1
RNO,2017-01-05,RNO vs. OKL,0,238,94,34,78,0.436,8,27,0.296,18,23,0.783,8,33,41,18,9,7,21,21,-29.0,0,1
IND,2017-01-05,IND vs. BKN,1,240,121,48,93,0.516,10,22,0.455,15,19,0.789,7,37,44,23,7,9,6,12,12.0,1,1
UTA,2017-01-05,UTA @ TOR,0,241,93,34,73,0.466,7,20,0.35,18,21,0.857,12,34,46,16,2,4,18,22,-8.0,0,0
ATL,2017-01-05,ATL @ NOP,1,240,99,38,90,0.422,9,23,0.391,14,17,0.824,12,43,55,23,9,6,14,14,5.0,0,0
SAS,2017-01-05,SAS @ DEN,1,240,127,51,90,0.567,12,24,0.5,13,17,0.765,7,34,41,34,5,8,7,15,28.0,0,0
